config,model,num_speakers,instances_per_speaker,avg_inter_cluster_dist,avg_intra_cluster_spread,separation_score,overlap_score,silhouette_score
20s_80i,mel_band_high,20,80,4.638401,1.5940605,2.9098004779127136,0.07625,0.24260835349559784
20s_80i,mel_band_mid,20,80,3.5364063,1.4148178,2.4995471176014203,0.248125,0.10426104813814163
10s_10i,mfcc,10,10,0.93184304,0.15709952,5.9315085070813724,0.49,-0.07870250940322876
10s_10i,mel_band_low,10,10,5.8612957,1.4246876,4.1140889324354895,0.02,0.39826279878616333
10s_10i,mel_band_high,10,10,5.196755,1.4616985,3.5552826133299096,0.03,0.33683857321739197
10s_10i,mel_band_mid,10,10,3.492678,1.2828767,2.7225337578445057,0.17,0.16608375310897827
20s_20i,mfcc,20,20,0.8116885,0.18516557,4.3835584702393975,0.735,-0.2006281465291977
20s_20i,mel_band_low,20,20,5.6329784,1.5051572,3.742449344200349,0.0875,0.26659736037254333
20s_20i,mel_band_high,20,20,4.783579,1.5402142,3.1057860822677408,0.0675,0.251138836145401
20s_20i,mel_band_mid,20,20,3.5826833,1.3748988,2.6057777791878274,0.215,0.09461597353219986
40s_1i,mfcc,40,1,0.84349376,0.0,843493.7596321106,0.0,
40s_1i,mel_band_low,40,1,5.396999,0.0,5396998.882293701,0.0,
40s_1i,mel_band_high,40,1,4.8311768,0.0,4831176.7578125,0.0,
40s_1i,mel_band_mid,40,1,3.9159918,0.0,3915991.78314209,0.0,
2s_1i,mfcc,2,1,1.4587691,0.0,1458769.0830230713,0.0,
2s_1i,mel_band_low,2,1,8.472106,0.0,8472105.979919434,0.0,
2s_1i,mel_band_high,2,1,5.564806,0.0,5564805.98449707,0.0,
2s_1i,mel_band_mid,2,1,5.607889,0.0,5607889.175415039,0.0,
60s_80i,mfcc,60,80,0.81864846,0.19009785,4.306435532232104,0.9091666666666667,-0.2895965874195099
60s_80i,mel_band_low,60,80,4.8808413,1.411812,3.457144420382088,0.22791666666666666,0.14133989810943604
60s_80i,mel_band_high,60,80,4.138714,1.550297,2.6696246646104966,0.24458333333333335,0.09417451173067093
60s_80i,mel_band_mid,60,80,3.0827081,1.2923884,2.3852780182927327,0.42791666666666667,0.013770834542810917
60s_20i,mfcc,60,20,0.83087194,0.18358351,4.525828058826911,0.9016666666666666,-0.33390066027641296
60s_20i,mel_band_low,60,20,4.981371,1.3500721,3.689704474640553,0.19416666666666665,0.15770192444324493
60s_20i,mel_band_high,60,20,4.275383,1.4909593,2.8675364687933493,0.22416666666666665,0.09884801506996155
60s_20i,mel_band_mid,60,20,3.134624,1.2534809,2.5007333382464902,0.37666666666666665,0.009764034301042557
40s_60i,mfcc,40,60,0.80912006,0.19202754,4.213540670384091,0.8554166666666667,-0.2709157168865204
40s_60i,mel_band_low,40,60,5.0854483,1.434145,3.5459767402623297,0.18541666666666667,0.17606903612613678
40s_60i,mel_band_high,40,60,4.1875553,1.5285614,2.7395384316638047,0.17416666666666666,0.13810956478118896
40s_60i,mel_band_mid,40,60,3.2426238,1.3043444,2.486016178733889,0.345,0.055825285613536835
60s_60i,mfcc,60,60,0.81563896,0.19181153,4.252271485234148,0.9041666666666667,-0.29601380228996277
60s_60i,mel_band_low,60,60,4.8889036,1.4117707,3.462956236466354,0.22555555555555556,0.13917765021324158
60s_60i,mel_band_high,60,60,4.1468325,1.5426774,2.6880731975084045,0.23833333333333334,0.09356314688920975
60s_60i,mel_band_mid,60,60,3.0838463,1.2835639,2.4025637077022983,0.4191666666666667,0.014673680998384953
40s_20i,mfcc,40,20,0.82100683,0.1851674,4.433838740900518,0.86875,-0.2998098134994507
40s_20i,mel_band_low,40,20,5.134906,1.3617469,3.77081968538059,0.16125,0.1932818740606308
40s_20i,mel_band_high,40,20,4.3100486,1.4686623,2.9346744701772094,0.15125,0.15300220251083374
40s_20i,mel_band_mid,40,20,3.2635515,1.2789629,2.5517151811299,0.31625,0.050668634474277496
20s_5i,mfcc,20,5,0.8415964,0.16203257,5.193963211741852,0.72,-0.2588731348514557
20s_5i,mel_band_low,20,5,5.5227284,1.3632573,4.051124051825212,0.12,0.24882173538208008
20s_5i,mel_band_high,20,5,5.1034822,1.4376796,3.5498024210598556,0.04,0.27160465717315674
20s_5i,mel_band_mid,20,5,3.6797042,1.2634737,2.912368602336291,0.12,0.08185362815856934
40s_80i,mfcc,40,80,0.8136739,0.19098833,4.260310797555912,0.863125,-0.26699042320251465
40s_80i,mel_band_low,40,80,5.066176,1.428037,3.547647730342716,0.1890625,0.17651163041591644
